Категория,Значение
A,95.32447359178269
B,5.358218737246856
A,67.4903070890166
C,26.5486503252779
A,83.27565285823442
A,15.621770193652363
B,71.3405755503642
B,48.35111224137086
D,59.62117160580823
D,68.70134760189515
B,79.02457523803518
A,66.70678115494356
A,8.27344059863564
C,74.12997553039258
B,11.171041859422425
B,26.205613597598486
A,42.38788812477843
B,96.99427024227934
B,42.79846105029612
D,23.17989427837237
A,7.815871994935297
B,53.87624133079336
D,57.09743237361192
D,52.888984725625
C,13.9624720840973
B,55.409218344477736
D,14.787919764084235
C,84.6743043027925
D,20.26595679160922
B,4.201362748400106
A,59.60624726707044
C,23.313884147400476
D,73.0579800325086
B,68.29458116399614
D,52.43674833909754
D,63.26644230371332
D,40.5517714682465
C,90.59866710163483
A,42.77425165504286
A,70.6926346912303
D,35.60540957188445
A,50.23152119094437
A,34.39252955725405
A,42.543479849456524
C,97.66586058284845
C,21.207773803020334
C,76.08238162006052
A,27.250513148929777
A,52.487719014755555
D,95.56304730120743
D,94.90187529994127
C,76.90911964994217
B,11.559636562609354
A,92.03151948546153
A,92.04006474971509
C,98.04320562721172
D,2.1894946864199683
A,81.75100583611804
A,50.53648239687211
C,32.673706902200394
B,16.695210809905912
C,52.53123046412141
D,21.323271438348634
A,66.54141121675659
B,74.49841273045888
D,66.38219216364118
C,98.05943804707707
A,0.3630443384778803
B,89.32829748596431
C,52.14316196650817
B,42.873383512346855
A,37.40305549836012
A,98.01836721710806
A,54.15570873808206
A,34.42508385732984
A,56.79398149690245
B,18.174942193828038
D,99.12487396288972
A,18.075438415551403
C,46.16496220735552
C,70.64562241990463
C,54.98523931745586
B,84.55343999092098
B,3.487077480316425
B,18.484364480029125
C,91.07230106236737
D,24.36057424901634
A,52.82919719105463
A,83.62792655017982
D,37.84819252783983
B,40.28162834283728
B,8.201648545740014
B,69.03672563554647
B,53.5319206764854
C,67.12405715503795
D,80.81715755293295
B,33.734073610737845
A,81.2140564592878
C,90.74302060201474
C,92.57068394838065
