Категория,Значение
A,14.28970166006821
A,25.433651757012576
C,15.89352725240689
D,6.061470812163272
D,21.401057601266803
D,21.27727869356487
A,86.71577136552956
D,70.31496193698075
C,11.675709786228461
B,46.1979259793545
B,8.347403139855503
B,30.244306941876708
B,94.30666106044491
A,1.593091789870349
B,73.32479820811187
A,18.491693780423578
B,17.51093848659837
C,45.499092738862856
A,56.62373456910992
C,79.52542979712707
D,24.215464116422392
A,17.328249092722835
C,95.25642173104028
B,75.26424451228041
A,6.306516443003662
A,91.69017252385214
B,8.87631536873913
C,57.791309433597796
B,94.91011149173197
A,91.30029581006738
A,45.47818065953284
C,0.420424423041188
A,50.0452940480383
C,78.65631157471388
D,51.43535835897847
B,45.66024051027207
B,53.333735565537246
B,2.668796707298937
C,27.87229918414671
B,2.9510095069283038
C,34.56893889633375
C,67.02025678498245
D,83.1087942077051
B,1.9731203217094428
D,49.3550687848359
B,73.74043917600821
D,29.878382274674887
B,11.351029396926382
C,47.547805004604406
A,60.02695053601831
B,56.418724240895855
A,71.30808502286388
C,17.986721582392263
C,6.530006708807534
C,22.784221885835088
C,45.06439666596624
B,55.733308508515975
A,4.015019881347836
A,48.861553790251854
A,54.933777623186465
C,54.93413912342092
A,77.60376076068174
B,6.180620163448669
D,33.28022086290902
A,35.05898896438497
C,60.17968492306972
C,16.554017967425782
C,98.77026014175823
A,66.55243933289337
D,17.49110105183481
A,78.75818073228665
A,13.367633896321095
C,0.5158588846665424
D,33.99613909397684
C,74.13610353246922
A,13.31344255682334
B,22.18011702785575
C,93.9099525178929
C,68.06832651367282
A,52.03179952831973
B,54.82047235112808
B,16.414931357487784
C,5.8620666217641055
D,43.65165501768264
C,46.16558756641796
D,32.150609708986636
D,6.469912521673482
C,19.25993631864147
C,65.19337358401093
B,60.03438484822697
D,77.4580990776047
B,72.80480033128973
C,57.13809766171701
D,18.190489129667185
C,47.14617515527239
C,78.97002975214873
C,3.0742574382946253
A,89.32637344610085
B,56.08811247590205
D,97.77982831043873
