Категория,Значение
B,73.31836202543347
D,59.81683814085771
C,58.96544411243022
C,5.5139408955994345
D,0.4728458370752753
D,16.64011734028472
A,43.58392837436907
B,4.856017095413378
B,54.935074045163844
A,23.562399201208827
C,98.67158311090327
A,6.453345253048215
C,96.58197574992687
A,56.71250480992393
A,29.33388328107599
C,37.84160214339695
D,67.1182527148512
D,28.22067741643597
C,94.54102308222066
C,61.20734442366672
A,94.03671498293912
C,95.67590638448308
A,24.138584430806166
C,27.940149664198564
C,94.19348684416998
A,56.551692665226604
B,37.56546736755728
A,5.606003633896107
A,59.138164471664545
A,5.676260350998385
B,92.76469646249632
A,39.41439040292772
B,22.507079450527012
C,86.53704686022601
B,99.05481161579924
C,85.45211729867512
C,58.62795032515585
C,79.84754047016033
C,41.53577454521656
A,36.58746794816866
A,59.06785106820236
A,38.229333769900755
A,14.643072417084612
D,53.27600077936307
A,99.91935816388214
B,48.79103234746442
A,92.14347411521014
B,36.63404429067568
D,41.32927118281475
A,19.4612020342673
C,30.05762385847335
C,5.314843455645901
D,14.82151349067735
C,17.637842138094996
B,41.78764927317111
B,16.48476044312349
B,63.99121583971675
C,93.7143127715172
C,51.70239368346725
A,77.88125898847554
B,62.63135527630421
C,2.8422394608551005
C,78.57103950544186
D,65.53065358153938
B,60.45041896581066
C,7.575822537480359
A,51.565712379847106
B,34.64409720045667
D,45.445024359145016
B,30.60808744410216
C,44.248188396241176
C,42.11503418066429
D,98.40536913553404
D,36.66253567186079
D,1.1241598268512676
D,39.18243526667169
A,24.233305479884837
D,48.30740262564912
A,84.3392924816903
B,38.53871961150899
A,24.49827648124392
A,87.79042613691097
D,2.01462155589448
C,15.578649961218039
D,14.079157073392567
C,29.864314457071007
C,27.329369522496172
D,84.47701336558504
D,32.68335359381673
A,39.40006012451204
D,57.58182585170303
C,94.10678819569172
C,23.436357183833824
B,5.102393981291964
C,57.29054075421448
C,21.73259816260703
A,65.47955504473768
B,62.84827902250206
C,58.70886800930696
A,63.13215295452294
