Категория,Значение
C,49.37453051471338
C,11.84200673961474
C,67.42119582218
D,39.18518806684097
D,98.82858983050996
A,76.51419585961648
B,48.3305737123537
B,63.30309104020451
A,39.70073152431384
B,3.679897588549863
D,38.92846335936559
B,41.72859171112739
C,15.430964310549456
B,52.24954652686219
B,82.50533126212908
C,40.2071453798566
C,78.08263328169247
B,76.60869765622924
A,27.379865726203178
D,66.67027257277486
D,32.22538258953118
C,22.919478030624752
D,20.45146147551653
A,61.84407383999907
A,34.93546373756659
D,37.8782985588784
C,10.064714303851341
C,22.335150249461343
D,14.656427946346362
A,58.94683704799358
B,27.34444252381981
B,57.36732625560366
A,55.513777810404086
C,38.76648449960107
B,85.30687414824223
C,50.04822016434045
C,29.57955675849456
C,13.728194740464762
A,18.043536061997155
D,33.04288203544592
A,36.314205157084665
D,3.1910453352796186
D,4.48508623838304
A,39.3847536715321
C,92.07316100408167
D,23.8974771438889
B,60.232064178288795
B,44.20820464544833
D,40.88794940997064
C,10.702070749524307
C,91.66177747775366
C,18.90051397158362
B,7.404947869065792
A,48.266623264645915
C,73.66817385629084
D,12.734679978104035
B,93.30879417406422
D,30.901636891519637
C,55.13370518832479
A,42.20223407880555
C,87.2012721490035
A,2.555949788367873
C,80.10006798490208
C,52.24879130524327
B,90.48689527725564
A,33.88352227706398
B,23.371179433826896
B,93.4657910146162
D,5.807394662657639
D,23.198496593003593
D,47.80503175844888
B,13.295802635691544
A,40.359491267689485
D,88.68965331172708
A,62.000494046270504
A,26.17217499173722
A,35.02627971263742
D,78.92066487397213
B,6.750479718177549
C,16.297749304032017
B,89.40086633109692
B,77.7619931529834
D,27.215493925026003
D,2.048719444125291
C,93.00347363560118
B,3.919209977085658
A,68.35365720449931
A,57.049342307132314
C,72.83469623380627
A,42.47488823956229
C,91.65426645136385
D,26.351170056092933
B,39.77163448269408
A,54.49195276598364
D,22.62054139798383
C,50.099707720458085
A,80.59005629527023
D,5.997866406240315
D,6.3228244848727355
A,80.79387193073318
